자치구,기간,합계,살인,강도,강간강제추행,절도,폭력,금액(천원/명),상대격차(배),절대격차(천원/명),이사간 인구 수,지하철 역 수
강남구,2014,8851,13,37,512,3895,4394,446.0,0.9,-52.1,115906,29
종로구,2014,5021,3,12,226,2272,2508,608.0,1.22,109.8,24191,15
마포구,2014,5740,4,22,265,2763,2686,497.3,1,-0.8,68853,22
중구,2014,5231,6,13,221,2576,2415,702.8,1.41,204.7,20105,23
중랑구,2014,5353,11,14,163,2390,2775,532.0,1.07,33.8,69157,14
구로구,2014,5389,3,14,252,2377,2743,550.6,1.11,52.5,62804,13
동대문구,2014,4363,12,13,141,1809,2388,504.1,1.01,6,57915,11
성북구,2014,4606,8,16,165,2130,2287,505.7,1.02,7.6,65082,9
도봉구,2014,3124,6,11,172,1350,1585,518.5,1.04,20.4,45658,7
관악구,2014,6781,7,25,361,3029,3359,499.7,1,1.6,90987,4
용산구,2014,3799,1,7,213,1560,2018,486.6,0.98,-11.5,35618,18
광진구,2014,6268,8,16,249,3167,2828,414.9,0.83,-83.2,56778,11
성동구,2014,3582,1,5,141,1753,1682,495.6,0.99,-2.6,46521,19
송파구,2014,8004,9,9,255,4199,3532,379.8,0.76,-118.3,99723,22
양천구,2014,4642,5,11,129,2058,2439,436.9,0.88,-61.2,62502,6
서초구,2014,5558,6,14,285,2747,2506,354.0,0.71,-144.1,79323,19
강서구,2014,5289,8,9,214,2341,2717,548.6,1.1,50.5,109436,21
은평구,2014,5431,5,24,188,2352,2862,533.5,1.07,35.4,73950,15
강북구,2014,4030,6,21,189,1494,2320,623.1,1.25,125,48224,3
동작구,2014,3869,2,9,203,1787,1868,453.9,0.91,-44.2,63291,17
영등포구,2014,7003,14,10,250,3080,3649,484.2,0.97,-13.9,59057,19
노원구,2014,5312,5,8,173,2404,2722,613.5,1.23,115.4,73503,18
강동구,2014,5392,5,10,148,2425,2804,465.2,0.93,-32.9,66412,11
서대문구,2014,4194,3,4,185,1883,2119,482.2,0.97,-15.9,45088,7
금천구,2014,3842,7,9,162,1552,2112,629.0,1.26,130.9,33510,4
금천구,2015,3781,3,6,151,1567,2054,707.9,1.23,132.7,34056,4
송파구,2015,6778,11,13,220,3239,3295,426.5,0.74,-148.7,101994,22
강북구,2015,4257,7,14,153,1434,2649,734.7,1.28,159.5,47491,3
마포구,2015,5854,8,14,294,2555,2983,542.8,0.94,-32.3,71484,22
동작구,2015,4074,5,9,285,1865,1910,562.3,0.98,-12.8,66694,17
영등포구,2015,6867,14,22,295,2964,3572,599.6,1.04,24.4,58936,19
성동구,2015,3358,4,9,126,1607,1612,574.5,1,-0.6,48105,19
강남구,2015,8617,13,21,449,3850,4284,488.3,0.85,-86.8,108537,29
종로구,2015,4705,6,11,211,2184,2293,696.3,1.21,121.1,24951,15
중랑구,2015,5193,13,11,187,2135,2847,610.7,1.06,35.5,64638,14
관악구,2015,6345,9,12,320,2706,3298,531.2,0.92,-43.9,94590,4
중구,2015,4954,3,9,170,2548,2224,809.5,1.41,234.4,20078,23
강서구,2015,5585,7,13,262,2096,3207,631.2,1.1,56.1,94604,21
구로구,2015,5646,8,15,281,2335,3007,594.5,1.03,19.4,57099,13
양천구,2015,4528,3,6,120,1890,2509,501.8,0.87,-73.4,66589,6
광진구,2015,5909,4,14,240,3026,2625,499.9,0.87,-75.3,58871,11
동대문구,2015,4720,5,13,173,1981,2548,619.9,1.08,44.8,55990,11
도봉구,2015,2664,3,9,102,1063,1487,635.3,1.1,60.1,48961,7
강동구,2015,5244,4,6,156,2366,2712,534.4,0.93,-40.8,73720,11
용산구,2015,3820,5,14,194,1557,2050,560.8,0.98,-14.4,37064,18
서대문구,2015,4029,2,5,154,1812,2056,582.1,1.01,6.9,55729,7
은평구,2015,4745,3,9,166,1914,2653,620.5,1.08,45.3,82375,15
노원구,2015,5130,10,7,197,2193,2723,706.5,1.23,131.4,73528,18
성북구,2015,4154,5,5,150,1785,2209,587.9,1.02,12.7,66804,9
서초구,2015,5444,8,9,393,2635,2399,423.8,0.74,-151.3,76543,19
구로구,2016,5366,9,10,273,1910,3164,657.9,1.06,34.5,54368,13
용산구,2016,4137,4,9,251,1489,2384,618.0,0.99,-5.5,34124,18
노원구,2016,4543,5,6,159,1857,2516,746.8,1.2,123.4,72249,18
관악구,2016,5678,6,12,322,2103,3235,584.2,0.94,-39.2,91198,4
서초구,2016,4989,5,13,428,2205,2338,504.3,0.81,-119.1,71136,19
성동구,2016,3026,4,3,104,1296,1619,630.1,1.01,6.7,47629,19
종로구,2016,4459,6,12,238,1940,2263,742.1,1.19,118.6,23604,15
강서구,2016,5450,9,10,275,1952,3204,663.3,1.06,39.9,95852,21
동대문구,2016,4787,5,10,190,1940,2642,707.0,1.13,83.6,49591,11
강남구,2016,8149,5,39,516,3587,4002,513.0,0.82,-110.4,95358,29
서대문구,2016,3665,6,5,175,1503,1976,629.7,1.01,6.2,55152,7
강동구,2016,4462,4,14,160,1754,2530,584.1,0.94,-39.3,67962,11
송파구,2016,6090,9,15,234,2543,3289,457.6,0.73,-165.8,105735,22
도봉구,2016,2438,3,5,123,866,1441,665.7,1.07,42.2,44836,7
광진구,2016,5322,4,11,279,2636,2392,522.7,0.84,-100.8,55362,11
중구,2016,4584,3,8,198,2150,2225,893.9,1.43,270.4,20595,23
강북구,2016,4229,7,5,217,1222,2778,781.6,1.25,158.2,44791,3
