기간,구분,성별,합계,동북아시아,동북아시아,동북아시아,동북아시아,동북아시아,동북아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,서남아시아,서남아시아,서남아시아,서남아시아,서남아시아,서남아시아,중앙아시아,중앙아시아,중앙아시아,중앙아시아,중앙아시아,아시아(기타),북미,북미,유럽,유럽,유럽,유럽,유럽,오세아니아,중남미,아프리카,기타
기간,구분,성별,합계,소계,중국,중국(한국계),대만,일본,몽골,소계,베트남,필리핀,태국,인도네시아,캄보디아,미얀마,말레이시아,라오스,동티모르,기타,소계,스리랑카,파키스탄,방글라데시,네팔,기타,소계,우즈베키스탄,카자흐스탄,키르기스탄,기타,아시아(기타),미국,캐나다,소계,러시아,러시아(한국계),영국,기타,오세아니아,중남미,아프리카,기타
2013,합계,계,"395,640","303,856","51,179","225,201","9,847","12,482","5,147","23,209","11,585","6,013","1,522",942,"1,039",353,692,,,"1,063","6,341",,,,,"3,364",,,,,,,"31,999",,,"2,088",,,,,,,"24,783"
2013,합계,남자,"179,261","134,075","19,632","102,453","4,989","4,947","2,054","8,075","3,534","2,202",596,488,335,208,352,,,360,"4,511",,,,,"1,308",,,,,,,"16,677",,,713,,,,,,,"13,902"
2013,합계,여자,"216,379","169,781","31,547","122,748","4,858","7,535","3,093","15,134","8,051","3,811",926,454,704,145,340,,,703,"1,830",,,,,"2,056",,,,,,,"15,322",,,"1,375",,,,,,,"10,881"
2013,종로구,계,"11,880","7,981","2,584","4,665",272,310,150,680,265,226,46,37,14,16,21,,,55,537,,,,,102,,,,,,,"1,513",,,62,,,,,,,"1,005"
2013,종로구,남자,"5,342","3,286","1,042","1,952",125,118,49,242,80,90,11,18,7,3,10,,,23,367,,,,,39,,,,,,,803,,,24,,,,,,,581
2013,종로구,여자,"6,538","4,695","1,542","2,713",147,192,101,438,185,136,35,19,7,13,11,,,32,170,,,,,63,,,,,,,710,,,38,,,,,,,424
2013,중구,계,"11,036","7,663","1,662","4,571",679,321,430,536,226,146,31,40,15,4,37,,,37,321,,,,,676,,,,,,,790,,,324,,,,,,,726
2013,중구,남자,"5,202","3,498",810,"1,972",381,158,177,228,89,62,16,21,5,2,18,,,15,227,,,,,270,,,,,,,431,,,119,,,,,,,429
2013,중구,여자,"5,834","4,165",852,"2,599",298,163,253,308,137,84,15,19,10,2,19,,,22,94,,,,,406,,,,,,,359,,,205,,,,,,,297
2013,용산구,계,"18,233","7,552",965,"3,939",408,"2,083",157,"1,192",213,674,93,54,40,21,32,,,65,979,,,,,274,,,,,,,"4,054",,,332,,,,,,,"3,850"
2013,용산구,남자,"8,963","3,278",317,"1,589",202,"1,115",55,356,47,184,31,24,14,17,16,,,23,677,,,,,110,,,,,,,"2,074",,,87,,,,,,,"2,381"
2013,용산구,여자,"9,270","4,274",648,"2,350",206,968,102,836,166,490,62,30,26,4,16,,,42,302,,,,,164,,,,,,,"1,980",,,245,,,,,,,"1,469"
2013,성동구,계,"11,727","8,565","2,000","5,802",193,216,354,"1,124",643,266,67,30,32,12,53,,,21,284,,,,,100,,,,,,,895,,,58,,,,,,,701
2013,성동구,남자,"5,227","3,645",793,"2,525",85,62,180,471,229,127,35,23,17,10,24,,,6,246,,,,,44,,,,,,,432,,,16,,,,,,,373
2013,성동구,여자,"6,500","4,920","1,207","3,277",108,154,174,653,414,139,32,7,15,2,29,,,15,38,,,,,56,,,,,,,463,,,42,,,,,,,328
2013,광진구,계,"19,352","16,743","3,489","12,287",147,589,231,825,485,176,56,36,34,11,5,,,22,265,,,,,78,,,,,,,799,,,88,,,,,,,554
